email,name,nik,birthDate,birthPlace,verificationMode
bintang.users8102@yopmail.com,Bintang Regis 8201,3000000000008101,01-01-2001,Surabaya,0
bintang.users8103@yopmail.com,Bintang Regis 8202,3000000000008102,01-01-2001,Surabaya,0
bintang.users8104@yopmail.com,Bintang Regis 8203,3000000000008103,01-01-2001,Surabaya,0
bintang.users8105@yopmail.com,Bintang Regis 8204,3000000000008104,01-01-2001,Surabaya,0
bintang.users8106@yopmail.com,Bintang Regis 8205,3000000000008105,01-01-2001,Surabaya,0
bintang.users8107@yopmail.com,Bintang Regis 8206,3000000000008106,01-01-2001,Surabaya,0
bintang.users8108@yopmail.com,Bintang Regis 8207,3000000000008107,01-01-2001,Surabaya,0
bintang.users8109@yopmail.com,Bintang Regis 8208,3000000000008108,01-01-2001,Surabaya,0
bintang.users8110@yopmail.com,Bintang Regis 8209,3000000000008109,01-01-2001,Surabaya,0
bintang.users8111@yopmail.com,Bintang Regis 8210,3000000000008110,01-01-2001,Surabaya,0
bintang.users8112@yopmail.com,Bintang Regis 8211,3000000000008111,01-01-2001,Surabaya,0
bintang.users8113@yopmail.com,Bintang Regis 8212,3000000000008112,01-01-2001,Surabaya,0
bintang.users8114@yopmail.com,Bintang Regis 8213,3000000000008113,01-01-2001,Surabaya,0
bintang.users8115@yopmail.com,Bintang Regis 8214,3000000000008114,01-01-2001,Surabaya,0
bintang.users8116@yopmail.com,Bintang Regis 8215,3000000000008115,01-01-2001,Surabaya,0
bintang.users8117@yopmail.com,Bintang Regis 8216,3000000000008116,01-01-2001,Surabaya,0
bintang.users8118@yopmail.com,Bintang Regis 8217,3000000000008117,01-01-2001,Surabaya,0
bintang.users8119@yopmail.com,Bintang Regis 8218,3000000000008118,01-01-2001,Surabaya,0
bintang.users8120@yopmail.com,Bintang Regis 8219,3000000000008119,01-01-2001,Surabaya,0
bintang.users8121@yopmail.com,Bintang Regis 8220,3000000000008120,01-01-2001,Surabaya,0
bintang.users8122@yopmail.com,Bintang Regis 8221,3000000000008121,01-01-2001,Surabaya,0
bintang.users8123@yopmail.com,Bintang Regis 8222,3000000000008122,01-01-2001,Surabaya,0
bintang.users8124@yopmail.com,Bintang Regis 8223,3000000000008123,01-01-2001,Surabaya,0
bintang.users8125@yopmail.com,Bintang Regis 8224,3000000000008124,01-01-2001,Surabaya,0
bintang.users8126@yopmail.com,Bintang Regis 8225,3000000000008125,01-01-2001,Surabaya,0
bintang.users8127@yopmail.com,Bintang Regis 8226,3000000000008126,01-01-2001,Surabaya,0
bintang.users8128@yopmail.com,Bintang Regis 8227,3000000000008127,01-01-2001,Surabaya,0
bintang.users8129@yopmail.com,Bintang Regis 8228,3000000000008128,01-01-2001,Surabaya,0
bintang.users8130@yopmail.com,Bintang Regis 8229,3000000000008129,01-01-2001,Surabaya,0
bintang.users8131@yopmail.com,Bintang Regis 8230,3000000000008130,01-01-2001,Surabaya,0
bintang.users8132@yopmail.com,Bintang Regis 8231,3000000000008131,01-01-2001,Surabaya,0
bintang.users8133@yopmail.com,Bintang Regis 8232,3000000000008132,01-01-2001,Surabaya,0
